I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
0,1327701374,4286820260,45831301,270712,61878900,313276,3618100,4518
1,289967440,478052324,255955500,1309281,155854101,751333,6064500,8772
2,1212690194,3158424586,405428200,2050980,452041801,1810007,3456200,7648
3,1572870274,3464227643,88711501,565690,60248501,357256,2477000,4064
4,3297400563,613438702,125081900,797175,79641500,455445,3512699,7829
5,2399202955,251738541,165810900,979976,105394600,584276,2117400,4914
6,3055893215,522942146,16467900,107042,8881000,58350,581901,1115
7,569477229,2047034770,293736001,1664673,317334100,1302037,4468700,8396
8,4856398032,3887956378,352693800,2360005,375177799,1982801,3745500,8633
9,4086056898,735026498,227341101,1618137,332412499,1823248,2400900,10518
10,3305712363,1569861338,295339000,1712929,159153100,941734,2327400,9156
11,410835964,1602831437,204331601,1286093,148389899,644252,2755700,9921
12,5258030961,4876515207,254144801,1358343,203759900,1023032,1826400,6417
13,1124622427,4326869173,217378801,1572532,448988100,2317923,2778200,11586
14,4444029561,409081954,352573201,2245317,254366200,1411592,1933399,8304
15,2634524536,256344955,184829900,1348379,374303799,1827580,2567900,9502
16,2212816422,4103901040,20153900,110183,13225300,74323,873800,3512
17,3464222270,385077124,201997100,1284404,159506800,900919,1743601,10190
18,1276792788,3944589659,233842201,1635477,297259300,1045913,1702800,8735
19,3897417517,2357959407,10712600,98928,19285500,131903,602900,2464
20,28573848,1119074283,315749600,2062873,413378001,2149446,1950100,9900
21,4577955988,2334575778,36257600,287044,13644200,102397,867900,4484
22,3577762529,313377733,32178600,221604,16352700,124678,571399,2918
23,290979021,1143860636,31880700,240887,12015600,92239,301401,1168
24,174034908,444543281,119739001,839047,81271899,488681,1564400,8397
25,4114585501,3145074178,295860599,1922811,408802000,1909412,2753701,11221
26,1562729151,1151212735,182841899,1171166,168833101,896145,2355500,12788
27,1359392431,3474302466,176277300,1140671,95066500,582739,1414300,7050
28,1175487118,1573491372,332040300,2190504,364635400,1865781,1974401,10235
29,681543,125608,81149399,565889,70488901,458031,1045900,5400
30,1207123297,1102375533,272536500,1710655,195555900,1094876,1666899,9007
31,484617631,1092807921,229360900,1578438,408487199,1768944,1526800,7222
32,1653077926,697528,46186600,345129,34753700,226672,986600,5235
33,5105223950,1114749663,467810600,1685199,222397400,1006600,1804299,7044
34,2046084465,2415181111,196354900,1311130,443445999,1670861,2473201,10789
35,1394044763,291891990,425301899,2311665,471491000,1962552,2269899,11563
36,479200618,5406520542,351812800,1830392,640921999,1760415,2561500,10059
37,2615990380,5124611614,113208600,647579,74999000,408314,1148199,4742
38,339461035,273102609,235075200,1325390,187202599,767647,2113599,8874
39,294854700,308297189,87736500,535707,33374201,184432,1084500,4961
40,292459395,4902882054,329121001,1838156,497648799,1955702,1631300,7229
41,2519500849,346149599,208480699,1214555,111588201,509618,1691499,8115
42,855527293,439966033,320110499,1820508,452093500,1997694,2768500,13713
43,2904257456,1224776125,359700500,2028561,519588200,2047778,2247199,8320
44,1039956271,656507885,365358800,1794849,565615400,1717871,1815201,7247
45,801813615,278755424,95635400,609691,76439101,389185,1082000,5068
46,4345452848,408451352,342099300,2186784,416593099,2088246,1845100,10283
47,1516764342,17710394,320812900,2027690,351841401,1815145,2011000,11064
48,1414227063,2399391718,158783900,1027359,137479699,787723,1186200,5923
49,429859989,1038275258,102902301,711869,120857000,723908,933999,3763
50,30916210,305640329,347393600,1983435,667509199,2072547,2258300,9789
51,1575319498,1263961812,88871900,546315,68961500,369743,984600,5596
52,2634326142,316818486,390019000,1928946,166534501,795812,1759700,7702
53,4350579769,4927834166,80514399,428510,79385500,385920,1150800,5116
54,1209653164,4910920410,261507400,1366539,480656100,1656121,2674700,10653
55,835872995,113581006,377289100,2063778,339140201,1551532,2844400,11490
56,3491718310,1279654331,238702900,1318772,477765900,1977569,1996300,10341
57,732941295,4198350617,423851801,2310161,582839600,2146151,2078499,9000
58,1523076340,1844361327,393744501,2046344,310991701,1626397,2761899,13146
59,2484014253,845280184,1621501,15057,1937700,16269,134401,500
60,30789846,2214510354,243800,2492,272701,2997,61300,233
61,1609211618,7459404,399208801,2230360,447752500,2115136,2023600,10246
62,1074995460,2904247151,197236600,1402165,459142000,2168323,1977200,8352
63,85799346,255617993,343340101,1686046,420789700,1952417,3339400,15216
