I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed,Contraction Hierarchy Time,Contraction Hierarchy Relaxed
0,1327701374,4286820260,102832699,270712,127608000,313276,5850799,4518
1,289967440,478052324,377616900,1309281,254140800,751333,8285300,8772
2,1212690194,3158424586,533710401,2050980,573806500,1810007,4679000,7648
3,1572870274,3464227643,115433000,565690,90994700,357256,3456501,4064
4,3297400563,613438702,150150600,797175,85487800,455445,4296100,7829
5,2399202955,251738541,210604500,979976,182825900,584276,4889200,4914
6,3055893215,522942146,20050600,107042,12588100,58350,793100,1115
7,569477229,2047034770,475500499,1664673,348669800,1302037,5346300,8396
8,4856398032,3887956378,475978100,2360005,473796901,1982801,4194200,8633
9,4086056898,735026498,282924400,1618137,481072501,1823248,4662300,10518
10,3305712363,1569861338,376636401,1712929,210350601,941734,3168000,9156
11,410835964,1602831437,318154901,1286093,146354800,644252,3633500,9921
12,5258030961,4876515207,292128100,1358343,263598400,1023032,2170600,6417
13,1124622427,4326869173,296881199,1572532,528799800,2317923,3703000,11586
14,4444029561,409081954,365238700,2245317,308188300,1411592,2712700,8304
15,2634524536,256344955,209001800,1348379,366317900,1827580,2801800,9502
16,2212816422,4103901040,14311501,110183,9403400,74323,656001,3512
17,3464222270,385077124,193717700,1284404,193350901,900919,1868500,10190
18,1276792788,3944589659,244662900,1635477,183410001,1045913,1876600,8735
19,3897417517,2357959407,10249101,98928,17779100,131903,587400,2464
20,28573848,1119074283,326755700,2062873,427446400,2149446,2211900,9900
21,4577955988,2334575778,38826100,287044,16029300,102397,1000400,4484
22,3577762529,313377733,29870601,221604,16705701,124678,559000,2918
23,290979021,1143860636,31863500,240887,12573400,92239,306300,1168
24,174034908,444543281,124573901,839047,143178100,488681,1648201,8397
25,4114585501,3145074178,331243601,1922811,364033001,1909412,2188000,11221
26,1562729151,1151212735,175484400,1171166,159720401,896145,2782400,12788
27,1359392431,3474302466,182344900,1140671,96741700,582739,1630200,7050
28,1175487118,1573491372,338014201,2190504,438190101,1865781,1894999,10235
