I,From,To,Dijkstra Time,Dijkstra Relaxed,Bidirectional Dijkstra Time,Bidirectional Dijkstra Relaxed
0,318236626,317189850,259613400,549603,210708300,617718
1,1369124666,4209719933,26910900,91643,21338000,79837
2,1315414436,95211943,63702300,272463,59235501,216045
3,11429838,2330322076,50784901,205013,43322401,157965
4,2055933422,26656134,341161499,1134483,379074300,1110194
5,25643721,176798789,132368000,515124,63682500,221132
6,685342951,2398201855,135481600,490871,68855600,209878
7,256632310,312377073,102914200,404979,67895999,241064
8,1119603699,3464274609,11428300,60718,31960300,115746
9,3149756044,5182914262,240582000,881709,121074699,426261
10,1698554231,281897038,73629099,341804,106357099,373946
11,3174696768,1531139589,188807700,809131,114548000,412658
12,1135400848,1601440267,54817299,250288,47891400,182938
13,1280470417,1108912108,61977600,261136,37316501,144688
14,285882226,269778850,145660599,630899,332639201,1043466
15,1147549514,1185457262,109225800,412168,138820800,456579
16,432622368,2990544848,23260600,114877,24011400,108802
17,2315337192,372765763,196395899,419332,92963900,351287
18,1738635792,3382716611,47771000,211631,78426001,259592
19,3356133745,2311967087,160367100,663413,100517999,374252
20,392815946,389151282,296690600,1164168,270689100,852701
21,3915790730,1036133490,270214999,1062248,295090599,1005047
22,27435512,3774077399,116860000,487789,307791100,913009
23,1250668370,3681416110,65157900,268847,49553200,209991
24,4982023333,4823913064,49415200,231807,48964600,193294
25,4929152957,1105536577,304628499,1155469,190522099,625738
26,523055283,4195973180,7098200,45158,5550699,28426
27,1126297251,623567692,262716500,931029,306357501,967158
28,34002226,1660725878,150984599,656986,446949300,982487
29,1952138175,267244423,293661601,1155372,274011900,897849
30,331342377,457399238,290723200,1140819,299549300,972729
31,289547873,289133457,257602900,1003787,299291600,980291
32,1189995728,2069027801,128540400,530181,117243100,394813
33,2501558901,268818919,62609400,288867,77750600,294797
34,466518664,415912453,174248900,735833,105241799,380723
35,1148159647,882376718,26487800,137052,152199700,74040
36,654684,31994688,50548900,230448,28440899,120966
37,2816972817,321987685,215109201,795706,255424999,715240
38,2551278873,1141256458,227659801,859865,241295599,797322
39,310777582,7305515,281404500,1100314,310495601,1024328
40,4350042403,2724147063,162337500,710571,151084799,512387
41,2673690867,261167842,56198500,254675,43977899,176131
42,4329644354,1568204174,115227699,495811,291045500,965162
43,2579953697,47017116,31842400,160391,23680499,95174
44,2817897694,256187687,324802200,867666,164656699,561943
45,2062877920,3470915569,233247200,886695,273374700,899932
46,280488731,1312182440,64232900,280931,62945601,244603
47,1204032285,4123057946,76774001,357359,61620300,255134
48,2342437912,312565825,127837200,557705,267156600,880541
49,4876252547,299133570,291525099,898769,370458100,949714
50,1219552835,1200883422,168847401,599594,127661201,364685
51,560011402,1110741924,409322100,849135,331593000,740603
52,417816303,280410576,306735500,1083509,364624000,1057953
53,30146629,1463994198,18859900,88065,57694900,185329
54,1605581967,1099036427,244932600,834236,284834700,827445
55,280468757,538373598,110287900,364878,82846599,236988
56,5166024971,751441646,242775801,885952,270538701,878438
57,5305089779,3394943519,341532300,868796,248309100,793718
58,1275642516,4564267263,167779999,719079,201141499,680175
59,5049289090,260286157,126567200,547075,100700000,321683
